Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
78,18,8,126,2,Some Random Commen with Id 78
79,18,8,136,3,Some Random Commen with Id 79
80,18,8,98,6,Some Random Commen with Id 80
81,18,8,128,3,Some Random Commen with Id 81
82,18,8,102,6,Some Random Commen with Id 82
83,18,8,184,2,Some Random Commen with Id 83
84,19,0,162,5,Some Random Commen with Id 84
85,19,0,137,5,Some Random Commen with Id 85
86,19,0,112,5,Some Random Commen with Id 86
87,19,0,47,9,Some Random Commen with Id 87
88,19,0,91,1,Some Random Commen with Id 88
89,19,0,176,5,Some Random Commen with Id 89
90,19,0,96,3,Some Random Commen with Id 90
91,19,0,112,3,Some Random Commen with Id 91
92,20,2,30,9,Some Random Commen with Id 92
93,20,2,41,9,Some Random Commen with Id 93
94,21,0,113,5,Some Random Commen with Id 94
95,21,0,144,1,Some Random Commen with Id 95
96,21,0,78,3,Some Random Commen with Id 96
97,21,0,65,4,Some Random Commen with Id 97
98,21,0,100,3,Some Random Commen with Id 98
99,21,0,62,5,Some Random Commen with Id 99
100,21,0,166,1,Some Random Commen with Id 100
101,21,0,136,2,Some Random Commen with Id 101
102,21,0,189,1,Some Random Commen with Id 102
103,22,3,167,9,Some Random Commen with Id 103
104,22,3,18,7,Some Random Commen with Id 104
105,22,3,20,9,Some Random Commen with Id 105
106,22,3,160,7,Some Random Commen with Id 106
107,22,3,100,7,Some Random Commen with Id 107
108,22,3,44,7,Some Random Commen with Id 108
109,22,3,29,0,Some Random Commen with Id 109
110,22,3,182,3,Some Random Commen with Id 110
111,22,3,56,9,Some Random Commen with Id 111
112,23,7,2,6,Some Random Commen with Id 112
113,23,7,62,4,Some Random Commen with Id 113
114,23,7,24,0,Some Random Commen with Id 114
115,23,7,120,2,Some Random Commen with Id 115
116,23,7,68,4,Some Random Commen with Id 116
117,23,7,19,8,Some Random Commen with Id 117
118,23,7,13,8,Some Random Commen with Id 118
119,23,7,37,5,Some Random Commen with Id 119
120,23,7,43,2,Some Random Commen with Id 120
121,24,4,87,4,Some Random Commen with Id 121
122,26,8,90,3,Some Random Commen with Id 122
123,26,8,154,6,Some Random Commen with Id 123
124,27,1,65,8,Some Random Commen with Id 124
125,27,1,191,6,Some Random Commen with Id 125
126,27,1,36,6,Some Random Commen with Id 126
127,27,1,173,1,Some Random Commen with Id 127
128,27,1,157,6,Some Random Commen with Id 128
129,27,1,16,1,Some Random Commen with Id 129
130,27,1,180,5,Some Random Commen with Id 130
131,27,1,126,2,Some Random Commen with Id 131
132,28,5,98,3,Some Random Commen with Id 132
133,28,5,37,5,Some Random Commen with Id 133
134,28,5,183,5,Some Random Commen with Id 134
135,28,5,103,5,Some Random Commen with Id 135
136,28,5,48,1,Some Random Commen with Id 136
137,28,5,72,7,Some Random Commen with Id 137
138,28,5,61,9,Some Random Commen with Id 138
139,28,5,61,2,Some Random Commen with Id 139
140,28,5,43,7,Some Random Commen with Id 140
141,29,3,147,6,Some Random Commen with Id 141
142,29,3,179,1,Some Random Commen with Id 142
143,29,3,130,2,Some Random Commen with Id 143
144,29,3,154,5,Some Random Commen with Id 144
145,29,3,24,1,Some Random Commen with Id 145
146,29,3,3,8,Some Random Commen with Id 146
147,29,3,153,3,Some Random Commen with Id 147
148,29,3,9,2,Some Random Commen with Id 148
149,30,6,198,4,Some Random Commen with Id 149
150,30,6,158,1,Some Random Commen with Id 150
151,30,6,174,1,Some Random Commen with Id 151
152,30,6,126,9,Some Random Commen with Id 152
153,30,6,9,0,Some Random Commen with Id 153
154,31,0,63,0,Some Random Commen with Id 154
155,31,0,44,2,Some Random Commen with Id 155
156,31,0,115,8,Some Random Commen with Id 156
157,32,2,122,6,Some Random Commen with Id 157
158,32,2,151,4,Some Random Commen with Id 158
159,32,2,133,2,Some Random Commen with Id 159
160,32,2,106,9,Some Random Commen with Id 160
161,32,2,169,2,Some Random Commen with Id 161
162,32,2,171,2,Some Random Commen with Id 162
163,32,2,80,7,Some Random Commen with Id 163
164,33,2,136,1,Some Random Commen with Id 164
165,33,2,133,1,Some Random Commen with Id 165
166,35,2,197,9,Some Random Commen with Id 166
167,35,2,62,6,Some Random Commen with Id 167
168,35,2,137,1,Some Random Commen with Id 168
169,35,2,131,3,Some Random Commen with Id 169
170,35,2,95,5,Some Random Commen with Id 170
171,35,2,104,4,Some Random Commen with Id 171
172,35,2,125,3,Some Random Commen with Id 172
173,35,2,105,5,Some Random Commen with Id 173
174,36,8,190,1,Some Random Commen with Id 174
175,36,8,194,0,Some Random Commen with Id 175
176,36,8,13,6,Some Random Commen with Id 176
177,36,8,187,0,Some Random Commen with Id 177
178,36,8,56,1,Some Random Commen with Id 178
179,37,1,125,7,Some Random Commen with Id 179
180,37,1,21,2,Some Random Commen with Id 180
181,37,1,140,4,Some Random Commen with Id 181
182,37,1,144,4,Some Random Commen with Id 182
183,38,9,7,3,Some Random Commen with Id 183
184,38,9,133,0,Some Random Commen with Id 184
185,38,9,8,7,Some Random Commen with Id 185
186,39,8,66,9,Some Random Commen with Id 186
187,39,8,88,9,Some Random Commen with Id 187
188,39,8,143,7,Some Random Commen with Id 188
189,39,8,127,5,Some Random Commen with Id 189
190,39,8,161,9,Some Random Commen with Id 190
191,39,8,170,2,Some Random Commen with Id 191
192,39,8,9,8,Some Random Commen with Id 192
193,39,8,112,6,Some Random Commen with Id 193
